Timestamp,How old are you?,Industry,Functional area of job,Job title,Job title - additional context,Annual salary (gross),Additional monetary compensation,Currency,Currency - other,Income - additional context,Country,State,City,Remote or on-site?,"Years of experience, overall",Years of experience in field,Highest level of education completed,Gender,Race
4/11/2023 15:01:24,25-34,"Galleries, Libraries, Archives & Museums",Administration,"Manager of President Office Operations, Board Liaison","staffing president/CEO and leadership team, plus staffing our nonprofit board of directors",59500,0,USD,,,United States,Illinois,Chicago,Hybrid,5-7 years,1 year or less,College degree,Woman,White
4/11/2023 15:01:27,35-44,Government & Public Administration,Government & Public Administration,Program Manager,,108000,5000,CAD,,,Canada,,Ottawa,Hybrid,11-20 years,11-20 years,Some college,Woman,White
4/11/2023 15:01:35,25-34,Nonprofits,Nonprofits,Associate Project Manager,,73500,,USD,,,United States,Massachusetts,Chelsea,Hybrid,5-7 years,5-7 years,College degree,Man,Asian or Asian American
4/11/2023 15:01:37,45-54,Education (Higher Education),Fundraising,Foundation Relations Manager,Grant writing/reporting,47000,,USD,,,United States,Kentucky,Central KY,Hybrid,21-30 years,11-20 years,College degree,Woman,White
4/11/2023 15:01:42,25-34,Property or Construction,Property or Construction,Project Manager,Construction Project Manager,106000,25500,USD,,,United States,Minnesota,Minneapolis,On-site,8-10 years,8-10 years,College degree,Man,White
4/11/2023 15:01:44,45-54,Computing or Tech,Computing or Tech,Senior technical writer,,89250,10000,CAD,,,Canada,,Toronto,Fully remote,21-30 years,21-30 years,College degree,Woman,White
4/11/2023 15:01:47,65 or over,Nonprofits,Administration,Executive Director,,132672,,USD,,,United States,California,San Rafael,Hybrid,41 years or more,21-30 years,Some college,Man,White
4/11/2023 15:01:47,25-34,Health care,Health care,Medical Office Administrator ,,35360,250,CAD,,,Canada,,Brampton ,On-site,2-4 years,5-7 years,College degree,Man,White
4/11/2023 15:01:59,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Librarian,,72300,,USD,,,United States,Kentucky,Lexington,Fully remote,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 15:02:08,25-34,Computing or Tech,,Senior HRBP,,148000,14000,USD,,,United States,Massachusetts,"Boston, MA",Fully remote,8-10 years,8-10 years,Master's degree,Woman,White
4/11/2023 15:02:13,35-44,Automotive,Art & Design,UX Manager,,107000,7500,USD,,Bonus based on company performance,United States,Arizona,Phoenix,Other/it's complicated,8-10 years,5-7 years,College degree,Woman,White
4/11/2023 15:02:14,55-64,Nonprofits,Administration,"Vice President, Contracts",,220000,0,USD,,,United States,District of Columbia,Washington,Hybrid,31-40 years,21-30 years,Master's degree,Woman,White
4/11/2023 15:02:14,45-54,Education (Higher Education),Education (Higher Education),"Director, Library Services",,87000,7500,USD,,,United States,Pennsylvania,Philadelphia,Fully remote,21-30 years,8-10 years,Master's degree,Woman,White
4/11/2023 15:02:21,25-34,Business or Consulting,"Marketing, Advertising & PR",Product Marketing Manager ,,121000,10000,USD,,,United States,Tennessee,Chattanooga,Fully remote,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 15:02:23,25-34,Nonprofits,Recruitment or HR,HR Consultant,,70000,1300,USD,,,United States,Minnesota,Minneapolis,Hybrid,11-20 years,5-7 years,College degree,Woman,White
4/11/2023 15:02:23,25-34,Education (Higher Education),Education (Higher Education),Career Coach/Advisor,,51000,0,USD,,,United States,Georgia,Decatur,Hybrid,5-7 years,2-4 years,Master's degree,Woman,White
4/11/2023 15:02:24,45-54,Nonprofits,Health care,Chief Financial Officer,,98000,0,USD,,My salary is less than 'standard' for a CFO due to working for a non-profit FQHC.,United States,Wisconsin,Wausau,Hybrid,21-30 years,21-30 years,College degree,Woman,White
4/11/2023 15:02:31,35-44,Government & Public Administration,Property or Construction,Associate Director of Housing,,96000,,USD,,,United States,Virginia,Richmond,Hybrid,11-20 years,5-7 years,Master's degree,Woman,White
4/11/2023 15:02:38,55-64,Business or Consulting,Recruitment or HR,HR Consultant,,175000,0,USD,,,United States,Massachusetts,Westwood,Fully remote,31-40 years,31-40 years,Master's degree,Woman,White
4/11/2023 15:02:40,45-54,Biotechnology & Pharma,Engineering or Manufacturing,Principal Device Engineer,,180000,30000,USD,,,United States,Colorado,Boulder,Hybrid,21-30 years,21-30 years,College degree,Woman,White
4/11/2023 15:02:45,25-34,Health care,Business or Consulting,Project Administrator ,,105000,0,USD,,,United States,Pennsylvania,Philadelphia ,Other/it's complicated,5-7 years,8-10 years,Master's degree,Woman,White
4/11/2023 15:02:46,45-54,Education (Higher Education),Fundraising,Senior Associate Director,middle management,115000,0,USD,,,United States,Massachusetts,Boston area,Hybrid,21-30 years,21-30 years,Master's degree,Woman,White
4/11/2023 15:02:52,25-34,Engineering or Manufacturing,"Marketing, Advertising & PR",Associate product manager,,97000,5000,USD,,,United States,Minnesota,Minneapolis,Hybrid,11-20 years,2-4 years,College degree,Woman,White
4/11/2023 15:02:55,35-44,Education (Higher Education),Media & Digital,Director of Digital Media,In the Advancement Dept.; there are multiple similar roles within the university,105000,0,USD,,,United States,California,Moraga,Hybrid,11-20 years,8-10 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
4/11/2023 15:02:56,35-44,Government & Public Administration,Law,Legislative Analyst,,108000,,USD,,,United States,District of Columbia,Washington,Hybrid,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 15:02:57,18-24,Art & Design,Art & Design,Assistant Merchandiser ,,54000,0,USD,,,United States,New York,New York ,On-site,2-4 years,2-4 years,College degree,Woman,White
4/11/2023 15:02:57,35-44,Biotechnology & Pharma,Safety,"Senior manager, environmental health and safety ",,161000,24000,USD,,,United States,Missouri,St Louis,Hybrid,11-20 years,11-20 years,PhD,Woman,White
4/11/2023 15:02:59,35-44,Education (Higher Education),Science,Principal Scientist,,142000,,USD,,,United States,Georgia,Atlanta,Hybrid,11-20 years,11-20 years,PhD,Man,Another option not listed here or prefer not to answer
4/11/2023 15:03:08,35-44,Education (Higher Education),Computing or Tech,Application Manager,Also referred to as HRIS Manager as a more functional specific title ,126000,,USD,,,United States,Washington,Seattle,Other/it's complicated,11-20 years,8-10 years,Master's degree,Woman,White
4/11/2023 15:03:18,25-34,Nonprofits,Nonprofits,Development Coordinator,"Main development (fundraising, grantwriting) person for organization with primary funding through government contracts. Job encompasses several other central duties other than development",44200,1000,USD,,,United States,Arizona,Tucson,On-site,8-10 years,5-7 years,College degree,Woman,White
4/11/2023 15:03:18,25-34,Education (Higher Education),Science,Research assistant ,,34300,0,GBP,,,United Kingdom,,Cardiff,On-site,8-10 years,8-10 years,PhD,Woman,White
4/11/2023 15:03:25,25-34,Computing or Tech,Computing or Tech,Lifecycle Marketing Engineer,"Marketing automation and operations, email developer",114000,5130,CAD,,,Canada,,Toronto,Hybrid,8-10 years,8-10 years,College degree,Woman,White
4/11/2023 15:03:37,45-54,Transport or Logistics,Administration,Senior Project Manager ,,130000,10000,USD,,,United States,Texas,Houston ,On-site,21-30 years,11-20 years,Master's degree,Man,White
4/11/2023 15:03:42,25-34,"Galleries, Libraries, Archives & Museums",Administration,Library Manager,,65000,,USD,,,United States,Missouri,KCMO,On-site,8-10 years,8-10 years,Master's degree,Non-binary,White
4/11/2023 15:03:48,25-34,Social Work,Social Work,Child Protective Services Supervisor,,85000,0,USD,,,United States,Oregon,Portland,On-site,8-10 years,8-10 years,Master's degree,Woman,White
4/11/2023 15:03:50,25-34,Computing or Tech,Editing/Documentation?,Copy Editor,,75000,,USD,,,United States,California,San Diego,Fully remote,2-4 years,2-4 years,College degree,Non-binary,White
4/11/2023 15:03:51,35-44,Education (Higher Education),Administration,"Assistant Director, Graduate Admissions",,56000,0,USD,,,United States,Iowa,Iowa City,Fully remote,8-10 years,5-7 years,College degree,Woman,White
4/11/2023 15:03:59,35-44,Health care,Administration,Admin Support,,51584,0,CAD,,,Canada,,Shuswap,On-site,11-20 years,11-20 years,Technical certificate,Woman,White
4/11/2023 15:04:00,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Processing Archivist,,60000,0,USD,,,United States,New York,New York City,On-site,8-10 years,8-10 years,College degree,Woman,White
4/11/2023 15:04:06,25-34,Insurance,"Accounting, Banking & Finance",Director - Insurance Accounting,,160000,25000,USD,,,United States,Texas,Can’t say,Hybrid,11-20 years,11-20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
4/11/2023 15:04:11,35-44,Nonprofits,Nonprofits,Director of Advancement Services,,136500,0,USD,,,United States,California,San Francisco,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 15:04:20,35-44,"Accounting, Banking & Finance",Computing or Tech,Sr. Operations and IT Specialist,My job splits between IT and financial operations ,77575,8500,USD,,,United States,North Carolina,Durham,Hybrid,8-10 years,8-10 years,Master's degree,Woman,White
4/11/2023 15:04:28,35-44,Hospitality & Events,Administration,Manager of guest services ,,60000,6500,CAD,,,Canada,,Na,On-site,21-30 years,11-20 years,Some college,Woman,White
4/11/2023 15:04:35,45-54,Computing or Tech,Computing or Tech,Business operations manager ,,120000,0,USD,,,United States,Oregon,Portland,Fully remote,21-30 years,11-20 years,College degree,Woman,White
4/11/2023 15:04:38,55-64,Computing or Tech,Computing or Tech,principle technical engineer,computer software,72000,0,USD,,,United States,Florida,Olrnado,Fully remote,41 years or more,41 years or more,College degree,Woman,White
4/11/2023 15:04:39,35-44,"Accounting, Banking & Finance",Administration,Finance Assistant,,30900,0,GBP,,,United Kingdom,,Isle of Man,Hybrid,11-20 years,1 year or less,College degree,Woman,White
4/11/2023 15:04:42,35-44,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Research Librarian,,52787,3000,USD,,"The extra $3000 is supplementary, based on temporary additional job duties.",United States,South Carolina,Spartanburg,On-site,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 15:04:44,35-44,Retail,Computing or Tech,Director of Data,,145000,100000,GBP,,,United Kingdom,,London,Hybrid,21-30 years,21-30 years,College degree,Man,White
4/11/2023 15:04:48,35-44,Computing or Tech,Engineering or Manufacturing,Process integration engineer ,,150000,30000,USD,,,United States,New York,Albany ,Hybrid,5-7 years,5-7 years,PhD,Woman,White
4/11/2023 15:04:48,25-34,Utilities & Telecommunications,Engineering or Manufacturing,Manufacturing Engineer,,80000,3000,USD,,,United States,New Jersey,Kearny,On-site,8-10 years,5-7 years,College degree,Woman,White
4/11/2023 15:04:51,65 or over,Nonprofits,Media & Digital,Lead editor/translator,,113000,1000,USD,,,United States,District of Columbia,Washington,Fully remote,21-30 years,21-30 years,Some college,Woman,Another option not listed here or prefer not to answer
4/11/2023 15:04:54,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Director of Special Collections and University Archives,Archives librarian,60000,,USD,,,United States,Oklahoma,Tulsa,On-site,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 15:05:00,35-44,Entertainment,Hospitality & Events,Companion,,160000,20000,USD,,,United States,District of Columbia,"Washington, DC",Hybrid,11-20 years,8-10 years,High School,Woman,White
4/11/2023 15:05:00,45-54,Art & Design,Government & Public Administration,Technical writer,,85000,2000,USD,,,United States,Arizona,Tucson,,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 15:05:07,45-54,Education (Higher Education),Administration,Senior director,Higher ed fundraising ,165000,0,USD,,,United States,Michigan,Detroit,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 15:05:16,25-34,Education (Higher Education),Education (Higher Education),PhD Student,Humanities Field,37000,0,USD,,"In addition to my stipend, my employer pays my health insurance premiums",United States,Illinois,Chicago,Other/it's complicated,5-7 years,5-7 years,Master's degree,Woman,White
4/11/2023 15:05:21,35-44,Health care,Quality management ,QM analyst ,,62000,5300,USD,,,United States,Arizona,Phoenix,Hybrid,11-20 years,8-10 years,Master's degree,Woman,White
4/11/2023 15:05:26,35-44,Law,Law,Supervising staff attorney,At a non profit ,82000,0,USD,,,United States,New Jersey,Newark,Hybrid,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,"Hispanic, Latino, or Spanish origin"
4/11/2023 15:05:30,25-34,Engineering or Manufacturing,Engineering or Manufacturing,Electronics repair tech,,35360,1250,USD,,,United States,South Carolina,Greenville,On-site,8-10 years,1 year or less,College degree,Woman,White
4/11/2023 15:05:30,35-44,Law Enforcement & Security,maintenance  ,Crew leader,,53000,,USD,,,United States,Colorado,Centennial,On-site,5-7 years,2-4 years,College degree,Woman,White
4/11/2023 15:05:31,25-34,"Marketing, Advertising & PR","Marketing, Advertising & PR",Junior PR Consultant,,36000,,EUR,,,Germany,,Berlin,Hybrid,2-4 years,1 year or less,Master's degree,Woman,White
4/11/2023 15:05:51,35-44,Computing or Tech,Computing or Tech,User Experience Researcher,,195000,30000,USD,,,United States,California,San Francisco,On-site,8-10 years,8-10 years,PhD,Woman,White
4/11/2023 15:05:55,45-54,Computing or Tech,Computing or Tech,Senior Software Engineer II,,215000,30000,USD,,,United States,Montana,Prefer not to say,Fully remote,21-30 years,11-20 years,Some college,Man,White
4/11/2023 15:05:57,35-44,Computing or Tech,Computing or Tech,Technical Account Manager,,132000,19000,USD,,,United States,Louisiana,New Orleans,Fully remote,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 15:06:00,25-34,Computing or Tech,Administration,Executive Assistant to the CEO,,75000,0,USD,,,United States,New York,New York City,Fully remote,8-10 years,5-7 years,College degree,"Woman, Non-binary",White
4/11/2023 15:06:03,65 or over,EV infrastructure ,CustomerbService,"Manager, Customer Support",,65000,5000,USD,,,United States,Maryland,Bowie,Hybrid,41 years or more,31-40 years,Some college,Woman,White
4/11/2023 15:06:08,35-44,"Galleries, Libraries, Archives & Museums",Computing or Tech,Product Consultant,,37000,,GBP,,,United Kingdom,,Reading,Fully remote,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 15:06:09,35-44,"Accounting, Banking & Finance",Administration,Practice manager,,55000,55000,AUD/NZD,,,Australia,,Charleville,On-site,11-20 years,8-10 years,College degree,Woman,White
4/11/2023 15:06:12,25-34,Engineering or Manufacturing,Sales,Customer Service,,55000,5000,USD,,,United States,Michigan,Kalamazoo,On-site,5-7 years,2-4 years,College degree,Man,White
4/11/2023 15:06:15,25-34,Government & Public Administration,Government & Public Administration,Climate Director,,100000,0,USD,,,United States,Minnesota,Saint Paul ,Fully remote,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 15:06:16,25-34,Media & Digital,Science,Deputy Editor ,,61400,3000,GBP,,,United Kingdom,,London ,Hybrid,5-7 years,5-7 years,PhD,Woman,White
4/11/2023 15:06:19,35-44,Computing or Tech,Art & Design,UX Designer,,170000,,USD,,,United States,,Seattle,,8-10 years,8-10 years,College degree,Woman,White
4/11/2023 15:06:24,25-34,"Marketing, Advertising & PR",Art & Design,Graphic Designer ,,48000,2000,USD,,,United States,Wisconsin,Milwaukee ,Hybrid,2-4 years,2-4 years,College degree,Woman,"Black or African American, White"
4/11/2023 15:06:31,35-44,Health care,Social Work,Substance Use Provider Engagement Manager,"I work for a healthcare nonprofit that is a combination direct care provider/managed care payer, providing clinical support/technical assistance/quality of care support to the external behavioral health providers who care for our members who have substance use disorders.",107000,0,USD,,,United States,Massachusetts,Boston,Fully remote,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 15:06:35,35-44,Nonprofits,policy research,survey director,,96000,4000,USD,,,United States,Massachusetts,boston,Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 15:06:51,25-34,Law,Law,Associate,,93000,27000,CAD,,,Canada,,Ottawa,Hybrid,5-7 years,2-4 years,"Professional degree (MD, JD, etc.)",Man,White
4/11/2023 15:06:55,45-54,Government & Public Administration,Government & Public Administration,Module Manager,,111000,0,USD,,,United States,New York,"Buffalo, NY",Hybrid,21-30 years,21-30 years,Master's degree,Woman,White
4/11/2023 15:07:02,35-44,Science,Computing or Tech,Product Manager,,60000,,GBP,,,United Kingdom,,Cambridge ,Hybrid,11-20 years,2-4 years,Master's degree,Man,White
4/11/2023 15:07:08,35-44,"Accounting, Banking & Finance",Customer Service/Management,Senior Manager of Customer Support Operatons,,110000,16500,USD,,,United States,Georgia,Decatur,Fully remote,11-20 years,11-20 years,College degree,Man,White
4/11/2023 15:07:09,25-34,Media & Digital,Publishing,Freelance Ebook Coder,,41600,,USD,,,United States,Nebraska,Omaha,Fully remote,8-10 years,8-10 years,College degree,Woman,White
4/11/2023 15:07:13,25-34,Education (Higher Education),Administration,"Assistant Director of Admissions, Strategic Enrollment, & Data Management",I work within an academic unit at an institution of higher education,70000,0,USD,,,United States,Colorado,Denver,Hybrid,5-7 years,5-7 years,Master's degree,Woman,White
4/11/2023 15:07:18,35-44,Education (Higher Education),Education (Higher Education),academic advisor,,45000,,USD,,,United States,Florida,St. Petersburg,Hybrid,11-20 years,8-10 years,Master's degree,Woman,Black or African American
4/11/2023 15:07:29,35-44,"Marketing, Advertising & PR",Art & Design,Senior Video Editor,Includes motion graphics and animation,78381,1087,USD,,,United States,Missouri,Saint Louis,Fully remote,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 15:07:36,35-44,Computing or Tech,Computing or Tech,Senior Architect,,180000,25000,USD,,,United States,Massachusetts,"Boston, MA",Hybrid,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 15:07:42,25-34,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Special Events and Visitor Services Manager,,49046,1600,USD,,I only work 35 hours per week. ,United States,New York,Upstate NY,On-site,8-10 years,5-7 years,Master's degree,Woman,White
4/11/2023 15:07:53,35-44,Computing or Tech,Computing or Tech,Director of Service,,100000,2500,USD,,,United States,Georgia,Chattanooga,On-site,21-30 years,21-30 years,Master's degree,Woman,White
4/11/2023 15:08:05,35-44,Government & Public Administration,Government & Public Administration,Analyst,,96000,96000,USD,,,United States,Oregon,Salem,Fully remote,11-20 years,1 year or less,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
4/11/2023 15:08:06,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Senior clerk,,51896,0,USD,,,United States,Nebraska,Omaha,On-site,11-20 years,8-10 years,College degree,Man,White
4/11/2023 15:08:08,35-44,Nonprofits,Nonprofits,Business Development Associate,,54080,0,USD,,,United States,Washington,Tacoma,Hybrid,11-20 years,2-4 years,Master's degree,Man,White
4/11/2023 15:08:08,45-54,Education (Higher Education),Administration,Associate Director of Admissions Operations,Oversight of admissions application processing,92500,0,USD,,,United States,Colorado,"Boulder, CO",Hybrid,21-30 years,21-30 years,Master's degree,Woman,White
4/11/2023 15:08:28,25-34,Media & Digital,Recruitment or HR,Recruiting Partner,,68500,0,USD,,,United States,Massachusetts,Cambridge,Hybrid,5-7 years,2-4 years,Master's degree,Non-binary,White
4/11/2023 15:08:41,35-44,Education (Higher Education),"Marketing, Advertising & PR",Executive Director of Communications,"Oversee communications, PR, digital signs, graphic design, web development, and outreach",127000,0,USD,,,United States,Illinois,Urbana,Hybrid,11-20 years,8-10 years,Master's degree,Woman,White
4/11/2023 15:08:53,25-34,Automotive/Powersports,Engineering or Manufacturing,Software Validation Engineer,,126000,10500,USD,,i should not earn this much,United States,Minnesota,minneapolis,Hybrid,8-10 years,8-10 years,College degree,Man,White
4/11/2023 15:08:59,25-34,Nonprofits,Communications,Communications and Membership Services Manager,,72000,,USD,,,United States,District of Columbia,Washington,Hybrid,5-7 years,5-7 years,Master's degree,Woman,White
4/11/2023 15:09:06,25-34,Video games/esports,Operations ,Esports Operations,,99580,6000,USD,,,United States,California,Los Angeles,Hybrid,11-20 years,8-10 years,Associate's,Man,White
4/11/2023 15:09:18,35-44,Engineering or Manufacturing,Administration,Customer Service/Administration,,40000,3500,USD,,,United States,New Jersey,Westwood,Hybrid,21-30 years,8-10 years,College degree,Woman,White
4/11/2023 15:09:18,45-54,"Accounting, Banking & Finance",Computing or Tech,Senior Software Engineer,,118000,,AUD/NZD,,,New Zealand,,Christchurch ,Hybrid,31-40 years,31-40 years,College degree,Woman,White
4/11/2023 15:09:24,35-44,Computing or Tech,"Marketing, Advertising & PR",Lead Lifecycle Manager,I lead strategy for the prospect marketing funnel,132000,0,USD,,,United States,California,San Francisco ,Other/it's complicated,8-10 years,8-10 years,College degree,Woman,Black or African American
4/11/2023 15:09:36,25-34,"Accounting, Banking & Finance",Operations,Senior Incident Manager,,163000,25000,USD,,,United States,Florida,Tampa,Fully remote,8-10 years,8-10 years,College degree,Woman,Middle Eastern or Northern African
4/11/2023 15:09:40,45-54,Retail,Retail,Assistant General Manager,,85000,,USD,,,United States,Illinois,Chicago,On-site,21-30 years,21-30 years,College degree,Woman,White
4/11/2023 15:09:40,55-64,"Accounting, Banking & Finance",Business or Consulting,Senior Business Project Analyst,,162300,55000,USD,,,United States,California,Los Angeles ,Hybrid,31-40 years,5-7 years,College degree,Woman,White
4/11/2023 15:09:42,25-34,Nonprofits,Administration,Director of Operations,,175000,0,USD,,,United States,California,Oakland,Hybrid,11-20 years,2-4 years,Master's degree,Woman,White
4/11/2023 15:09:48,55-64,Real Estate,Computing or Tech,Software Engineer,,158000,16000,USD,,,United States,Minnesota,Minneapolis,Fully remote,21-30 years,21-30 years,Master's degree,Woman,White
4/11/2023 15:09:59,35-44,"Accounting, Banking & Finance","Accounting, Banking & Finance",Payroll Specialist,,65000,1000,CAD,,,Canada,,Calgary ,Fully remote,21-30 years,8-10 years,College degree,Woman,White
4/11/2023 15:10:06,45-54,Education (Primary/Secondary),Education (Primary/Secondary),High School Spanish Teacher ,,70000,0,USD,,,United States,Pennsylvania,Erie,On-site,21-30 years,11-20 years,Master's degree,Woman,White
4/11/2023 15:10:09,25-34,Nonprofits,Nonprofits,Housing Intake Specialist,,57000,0,USD,,,United States,New York,New York City,Hybrid,2-4 years,2-4 years,College degree,Woman,Asian or Asian American
4/11/2023 15:10:09,35-44,Computing or Tech,Computing or Tech,Lead Developer Relations Engineer,Basically manager of a customer facing engineering support team,130000,25000,EUR,,,Netherlands,,Amsterdam,Fully remote,11-20 years,11-20 years,Master's degree,Man,White
4/11/2023 15:10:11,35-44,Government & Public Administration,Government & Public Administration,Revenue Tax Supervisor,,109803,0,USD,,,United States,Minnesota,Saint Paul,Fully remote,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 15:10:11,35-44,"Accounting, Banking & Finance",Computing or Tech,Software development manager ,,130000,25000,USD,,,United States,Idaho,Boise,Hybrid,21-30 years,11-20 years,Master's degree,Man,White
4/11/2023 15:10:20,25-34,Government & Public Administration,"Accounting, Banking & Finance",Financial Analyst,,83930,2000,USD,,,United States,District of Columbia,Washington,Hybrid,2-4 years,2-4 years,Master's degree,Woman,White
4/11/2023 15:10:45,35-44,Social Work,Government & Public Administration,Program Coordinator ,I run a program for children with developmental disabilities at risk of residential placement to get them in home services.,78000,15000,USD,,,United States,Massachusetts,Springfield,Hybrid,11-20 years,8-10 years,Master's degree,Non-binary,White
4/11/2023 15:10:50,45-54,Engineering or Manufacturing,Law,Sr. Program Mgr. - Ethics & Compliance,,169000,10000,USD,,,United States,Wisconsin,Milwaukee,Fully remote,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 15:10:52,35-44,Computing or Tech,Computing or Tech,production engineer,,300000,1000000,USD,,I have stock with a cliff so the additional varies,United States,Oregon,Eugene,Fully remote,11-20 years,11-20 years,Master's degree,Man,White
4/11/2023 15:10:53,35-44,Government & Public Administration,Government & Public Administration,Program Manager,,141000,,USD,,,United States,District of Columbia,DC,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 15:10:53,25-34,Computing or Tech,"Marketing, Advertising & PR",Product Marketing Manager,,98000,0,USD,,,United States,Colorado,Denver,Fully remote,5-7 years,2-4 years,College degree,Woman,White
4/11/2023 15:11:09,35-44,Biotechnology & Pharma,Computing or Tech,Senior Data Analyst,,106000,10000,USD,,,United States,Massachusetts,Cambridge,Fully remote,11-20 years,8-10 years,College degree,Man,White
4/11/2023 15:11:09,25-34,Media & Digital,Media & Digital,Production Editor,,63000,,USD,,,United States,New York,New York,Hybrid,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 15:11:11,25-34,Sales,Quality Assurance ,QA Team Lead ,"I lead a very small team inside of a small call center- my team is 4 people, including me, and the company is about a total of 200 employees",45760,1200,USD,,,United States,Oklahoma,Tulsa,Fully remote,8-10 years,2-4 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
4/11/2023 15:11:14,35-44,"Galleries, Libraries, Archives & Museums","Accounting, Banking & Finance",Managing Director,,97850,23000,USD,,,United States,New York,New York City,On-site,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 15:11:18,25-34,Nonprofits,Health care,Program manager,,80000,5000,USD,,,United States,District of Columbia,DC,Fully remote,5-7 years,2-4 years,Master's degree,Woman,White
4/11/2023 15:11:22,35-44,Education (Higher Education),Education (Higher Education),Associate Director of Student Activities,,68000,,USD,,,United States,Texas,Dallas,On-site,11-20 years,11-20 years,PhD,Woman,White
4/11/2023 15:11:25,35-44,Science,Science,Staff Scientist,I work as a scientist (although it is technically algorithm development) at a government contractor,152000,,USD,,,United States,California,Los Angeles,Hybrid,5-7 years,2-4 years,PhD,Woman,White
4/11/2023 15:11:32,45-54,Computing or Tech,"Marketing, Advertising & PR",Marketing Director,,94000,7000,USD,,,United States,New Hampshire,NA,Fully remote,21-30 years,11-20 years,College degree,Woman,White
4/11/2023 15:11:32,25-34,Nonprofits,Fundraising,Development Manager,,71000,0,USD,,,United States,Massachusetts,Boston,Fully remote,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,Middle Eastern or Northern African
4/11/2023 15:11:41,35-44,Nonprofits,Non profit development - Grants,Grants and Evaluations Associate,Fancy title for Grant writer,50000,,USD,,,United States,Minnesota,"Minneapolis/St. Paul (HQ is in St Paul, I WFH in Minneapolis)",Fully remote,5-7 years,5-7 years,Master's degree,Non-binary,White
4/11/2023 15:11:46,35-44,Computing or Tech,Health care,Director Provider Strategy,For-profit company,150000,30000,USD,,,United States,Massachusetts,Holyoke,Fully remote,11-20 years,5-7 years,Master's degree,Woman,"Asian or Asian American, White"
4/11/2023 15:11:51,35-44,"Galleries, Libraries, Archives & Museums",Hospitality & Events,Sales Leader,I manage 3 sales businesses within the overall organization. ,55000,0,CAD,,,Canada,,"Sudbury, Ontario",On-site,21-30 years,21-30 years,Some college,Woman,White
4/11/2023 15:11:52,35-44,Wine,Administration,Director of Operations,,111000,6000,USD,,,United States,California,Berkeley,Hybrid,11-20 years,8-10 years,Master's degree,Woman,White
4/11/2023 15:12:02,35-44,Government & Public Administration,Recruitment or HR,Health and Safety Coordinator,,68950,700,USD,,,United States,Tennessee,Clarksville,On-site,11-20 years,11-20 years,College degree,Woman,Black or African American
4/11/2023 15:12:04,25-34,Utilities & Telecommunications,Law,Trainee patent attorney,,424800,17000,SEK,,,Sweden,,Stockholm,Hybrid,1 year or less,1 year or less,Master's degree,"Woman, Other or prefer not to answer",White
4/11/2023 15:12:07,35-44,Government & Public Administration,Government & Public Administration,Grade 7,,55453,0,GBP,,,United Kingdom,,London,Hybrid,11-20 years,5-7 years,College degree,Woman,White
4/11/2023 15:12:26,25-34,Retail,Sales,Sales Team Leader,,26000,0,GBP,,,United Kingdom,,Sheffield ,Hybrid,2-4 years,2-4 years,College degree,Woman,White
4/11/2023 15:12:27,45-54,Transport or Logistics,Transport or Logistics,Supply Chain ,,55000,2000,CAD,,,Canada,,Six Nations,On-site,11-20 years,11-20 years,Some college,Woman,White
